T,gyro_5f_wy[dps]
-19.919977,0.0
-19.82003,0.0
-19.72004,0.0
-19.620052,0.0
-19.519936,0.0
-19.41998,0.0
-19.31981,0.0
-19.220091,0.0
-19.120061,0.0
-19.020085,0.0
-18.920101,0.0
-18.82005,0.0
-18.720044,0.0
-18.620047,0.0
-18.520077,0.0
-18.420002,0.0
-18.319987,0.0
-18.219957,0.0
-18.119954,0.0
-18.019956,0.0
-17.919998,0.0
-17.820045,0.0
-17.719973,0.0
-17.620056,0.0
-17.52005,0.0
-17.419928,0.0
-17.319979,0.0
-17.220034,0.0
-17.120096,0.0
-17.020119,0.0
-16.920098,0.0
-16.819862,0.0
-16.720061,0.0
-16.620055,0.0
-16.520063,0.0
-16.420102,0.0
-16.320113,0.0
-16.219917,0.0
-16.120013,0.0
-16.019918,0.0
-15.919842,0.0
-15.820082,0.0
-15.71991,0.0
-15.620063,0.0
-15.520075,0.0
-15.420088,0.0
-15.320006,0.0
-15.220037,0.0
-15.120081,0.0
-15.019938,0.0
-14.919961,0.0
-14.820048,0.0
-14.719932,0.0
-14.620008,0.0
-14.51985,0.0
-14.419965,0.0
-14.320019,0.0
-14.220047,0.0
-14.120055,0.0
-14.019933,0.0
-13.920086,0.0
-13.82011,0.0
-13.720086,0.0
-13.619993,0.0
-13.52008,0.0
-13.420074,0.0
-13.319971,0.0
-13.220021,0.0
-13.120124,0.0
-13.02011,0.0
-12.919781,0.0
-12.819995,0.0
-12.719927,0.0
-12.620091,0.0
-12.520085,0.0
-12.420079,0.0
-12.32008,0.0
-12.219892,0.0
-12.120037,0.0
-12.019973,0.0
-11.919821,0.0
-11.820088,0.0
-11.719809,0.0
-11.62009,0.0
-11.520089,0.0
-11.420083,0.0
-11.320107,0.0
-11.219942,0.0
-11.120105,0.0
-11.020054,0.0
-10.919867,0.0
-10.819914,0.0
-10.719996,0.0
-10.620094,0.0
-10.520097,0.0
-10.420096,0.0
-10.320032,0.0
-10.219977,0.0
-10.119915,0.0
-10.019992,0.0
-9.920078,0.0
-9.820031,0.0
-9.719968,0.0
-9.620106,0.0
-9.520101,0.0
-9.420108,0.0
-9.320118,0.0
-9.220047,0.0
-9.120104,0.0
-9.020062,0.0
-8.919856,0.0
-8.82003,0.0
-8.720103,0.0
-8.62011,0.0
-8.520065,0.0
-8.420121,0.0
-8.320115,0.0
-8.220038,0.0
-8.119818,0.0
-8.019781,0.0
-7.920065,0.0
-7.819904,0.0
-7.719769,0.0
-7.619926,0.0
-7.520113,0.0
-7.420116,0.0
-7.320124,0.0
-7.220097,0.0
-7.119775,0.0
-7.019985,0.0
-6.920104,0.0
-6.82004,0.0
-6.720092,0.0
-6.619971,0.0
-6.520134,0.0
-6.420124,0.0
-6.320132,0.0
-6.219911,0.0
-6.120028,0.0
-6.019926,0.0
-5.920012,0.0
-5.819901,0.0
-5.719808,0.0
-5.619918,0.0
-5.520134,-0.2
-5.420137,0.0
-5.320131,0.0
-5.220094,0.0
-5.120044,0.0
-5.02007,0.0
-4.920111,0.0
-4.819951,0.0
-4.719849,0.0
-4.619881,0.0
-4.520133,0.0
-4.42007,0.0
-4.320131,0.0
-4.219973,0.0
-4.12005,0.1
-4.020052,0.0
-3.91997,0.0
-3.81999,0.0
-3.720077,0.0
-3.620089,0.0
-3.52015,0.0
-3.420136,0.0
-3.320143,0.0
-3.220138,0.0
-3.120049,0.0
-3.019932,0.0
-2.919938,0.0
-2.819838,0.0
-2.720035,0.0
-2.61997,0.0
-2.51996,0.0
-2.420153,0.0
-2.320147,0.0
-2.220146,0.0
-2.120032,0.0
-2.020035,0.0
-1.91994,0.0
-1.819936,0.0
-1.719948,0.0
-1.619844,0.0
-1.519998,0.0
-1.420157,0.0
-1.320164,0.0
-1.220159,0.0
-1.120067,0.0
-1.019922,0.0
-0.919977,0.0
-0.820003,0.0
-0.720033,0.0
-0.619938,0.0
-0.519924,0.0
-0.42005,0.0
-0.320163,0.0
-0.220171,0.0
-0.120138,0.0
-0.019972,0.0
0.080152,0.0
0.180041,0.0
0.280064,0.0
0.379947,0.0
0.479882,0.0
0.579836,-0.2
0.679833,-1.6
0.77997,-2.7
0.879886,-1.0
0.980098,-0.6
1.080101,0.7
1.180023,-0.8
1.28004,-2.7
1.379932,-1.2
1.479949,-1.7
1.580053,-2.3
1.680058,-2.2
1.780046,-1.3
1.880041,-2.2
1.980068,-1.6
2.080051,-1.7
2.180118,-2.6
2.280056,-1.9
2.380067,-2.2
2.479995,-2.6
2.579929,-2.6
2.680039,-1.7
2.78004,-1.5
2.880035,-1.6
2.980045,-1.0
3.079881,-0.2
3.179869,0.4
3.280172,0.5
3.380051,1.9
3.480093,1.4
3.580029,1.7
3.679872,2.2
3.780041,2.8
3.880032,2.6
3.980203,3.0
4.080145,2.4
4.17998,2.3
4.280208,2.6
4.379964,2.3
4.479927,1.9
4.580137,2.1
4.67993,0.8
4.780042,1.1
4.880023,0.3
4.980029,0.0
5.079989,-0.1
5.179889,-0.3
5.279919,-0.7
5.379896,-0.8
5.479898,-0.6
5.580173,-0.8
6.080142,-0.6
6.179912,0.0
6.279981,0.3
6.379891,0.2
6.479973,0.2
6.580116,1.0
6.679973,0.9
6.780015,1.5
6.880014,1.7
6.980007,1.9
7.080155,1.9
7.179977,1.9
7.279904,1.9
7.379876,1.8
7.480107,1.5
7.580081,1.7
7.980003,1.1
8.080006,1.3
8.180047,1.3
8.279905,1.3
8.380142,0.7
8.479936,0.5
8.579951,0.8
8.679926,0.4
8.780008,0.0
8.879998,0.1
8.980003,0.3
9.079994,0.3
9.179906,0.3
9.279882,0.2
9.479953,0.2
9.579968,0.0
9.679893,0.9
9.780081,0.7
9.880016,0.7
9.979986,0.8
10.07999,0.9
10.179956,0.7
10.28006,1.6
10.37989,1.1
10.679893,1.1
10.879977,0.6
10.979983,0.6
11.080003,0.6
11.180022,0.4
11.279886,0.9
11.379955,0.9
11.479904,0.8
11.579972,1.1
11.680054,1.1
11.780094,0.6
11.879978,1.1
11.979979,1.4
12.079982,0.9
12.17998,0.6
12.279944,1.0
12.38,0.7
12.480113,1.0
12.580049,0.4
12.679879,0.1
12.780067,0.6
12.879925,0.0
12.97997,0.5
13.079978,0.5
13.179968,0.2
13.28009,0.3
13.379922,0.3
13.479898,0.8
13.580073,0.2
13.679911,1.5
13.780137,1.2
13.87999,1.0
13.979972,0.6
14.079962,0.9
14.179961,1.3
14.280109,1.0
14.380121,1.1
14.479943,0.9
14.57992,0.8
